Date,DayOfWeek,Month,Temperature,Rainfall,IceCreamsSold
2025-04-01,Tuesday,April,59.4,0.74,61
2025-04-03,Thursday,April,53.6,0.28,33
2025-04-06,Sunday,April,51.4,0.14,21
2025-04-07,Monday,April,50.8,0.06,23
2025-04-08,Tuesday,April,57.4,0.79,51
2025-04-09,Wednesday,April,59.9,0.25,73
2025-04-10,Thursday,April,55.5,0.07,43
2025-04-11,Friday,April,58.0,0.14,57
2025-04-12,Saturday,April,52.5,0.11,31
2025-04-14,Monday,April,54.6,0.33,41
2025-04-15,Tuesday,April,53.0,0.12,28
2025-04-16,Wednesday,April,66.1,0.32,98
2025-04-17,Thursday,April,55.5,0.53,42
2025-04-18,Friday,April,54.8,0.21,42
2025-04-19,Saturday,April,49.7,0.52,22
2025-04-20,Sunday,April,59.3,0.12,79
2025-04-21,Monday,April,56.4,0.24,61
2025-04-22,Tuesday,April,56.8,0.42,51
2025-04-23,Wednesday,April,55.6,0.01,54
2025-04-24,Thursday,April,60.8,0.1,71
2025-04-25,Friday,April,57.5,0.3,62
2025-04-26,Saturday,April,59.9,0.12,64
2025-04-27,Sunday,April,62.7,1.08,76
2025-04-28,Monday,April,59.1,0.51,54
2025-04-29,Tuesday,April,52.0,0.69,22
2025-04-30,Wednesday,April,57.3,0.25,55
2025-05-01,Thursday,May,73.4,0.66,146
2025-05-02,Friday,May,73.1,0.16,138
2025-05-03,Saturday,May,73.6,0.43,130
2025-05-04,Sunday,May,75.7,0.18,144
2025-05-05,Monday,May,72.4,0.19,124
2025-05-06,Tuesday,May,69.9,0.1,126
2025-05-07,Wednesday,May,67.9,0.42,97
2025-05-08,Thursday,May,72.5,0.12,129
2025-05-09,Friday,May,64.4,0.43,91
2025-05-10,Saturday,May,74.2,0.07,149
2025-05-11,Sunday,May,75.9,0.33,142
2025-05-13,Tuesday,May,73.2,0.67,124
2025-05-14,Wednesday,May,65.6,0.16,96
2025-05-15,Thursday,May,69.3,0.22,109
2025-05-17,Saturday,May,64.6,0.18,90
2025-05-18,Sunday,May,62.5,0.24,83
2025-05-19,Monday,May,62.1,0.42,74
2025-05-20,Tuesday,May,61.9,0.19,70
2025-05-21,Wednesday,May,69.6,0.47,106
2025-05-22,Thursday,May,63.7,0.12,86
2025-05-23,Friday,May,67.3,0.11,104
2025-05-24,Saturday,May,74.5,0.06,135
2025-05-25,Sunday,May,74.9,0.44,141
2025-05-26,Monday,May,71.1,0.41,121
2025-05-27,Tuesday,May,74.2,0.53,132
2025-05-28,Wednesday,May,64.5,0.05,90
2025-05-29,Thursday,May,61.6,0.03,78
2025-05-30,Friday,May,67.3,0.49,95
2025-05-31,Saturday,May,68.5,0.01,113
2025-06-01,Sunday,June,82.1,0.22,173
2025-06-02,Monday,June,72.4,0.25,130
2025-06-03,Tuesday,June,74.6,0.19,142
2025-06-04,Wednesday,June,70.5,0.05,116
2025-06-05,Thursday,June,76.2,0.12,157
2025-06-06,Friday,June,82.0,0.28,180
2025-06-07,Saturday,June,76.9,0.3,152
2025-06-08,Sunday,June,74.2,0.07,137
2025-06-09,Monday,June,85.7,0.25,196
2025-06-10,Tuesday,June,68.2,0.3,106
2025-06-11,Wednesday,June,72.0,0.1,124
2025-06-12,Thursday,June,77.0,0.01,153
2025-06-13,Friday,June,75.4,0.01,142
2025-06-14,Saturday,June,75.3,0.27,138
2025-06-15,Sunday,June,78.1,0.28,156
2025-06-16,Monday,June,83.8,1.05,181
2025-06-17,Tuesday,June,71.2,0.56,123
2025-06-18,Wednesday,June,80.9,0.14,168
2025-06-19,Thursday,June,75.4,0.64,140
2025-06-20,Friday,June,78.4,0.14,158
2025-06-21,Saturday,June,72.9,0.17,127
2025-06-22,Sunday,June,81.5,0.44,172
2025-06-23,Monday,June,75.1,0.28,143
2025-06-24,Tuesday,June,72.3,0.17,138
2025-06-25,Wednesday,June,77.5,0.03,156
2025-06-26,Thursday,June,82.7,0.48,184
2025-06-27,Friday,June,80.1,0.06,176
2025-06-28,Saturday,June,79.5,0.25,163
2025-06-29,Sunday,June,71.6,0.17,129
2025-06-30,Monday,June,77.1,0.46,154
2025-07-01,Tuesday,July,91.5,0.38,228
2025-07-02,Wednesday,July,80.6,0.11,175
2025-07-03,Thursday,July,98.3,0.73,252
2025-07-04,Friday,July,84.4,0.43,185
2025-07-05,Saturday,July,86.2,0.24,190
2025-07-06,Sunday,July,78.2,0.18,167
2025-07-07,Monday,July,89.3,0.66,211
2025-07-08,Tuesday,July,80.9,0.31,171
2025-07-09,Wednesday,July,91.7,0.53,227
2025-07-10,Thursday,July,84.5,0.16,192
2025-07-11,Friday,July,89.9,1.09,210
2025-07-12,Saturday,July,86.7,0.27,205
2025-07-13,Sunday,July,75.7,0.13,148
2025-07-14,Monday,July,73.1,0.71,124
2025-07-15,Tuesday,July,88.8,0.6,209
2025-07-16,Wednesday,July,96.9,0.19,256
2025-07-17,Thursday,July,88.2,0.11,208
2025-07-18,Friday,July,86.3,0.38,193
2025-07-19,Saturday,July,73.5,0.18,134
2025-07-20,Sunday,July,95.1,0.44,241
2025-07-21,Monday,July,76.0,0.51,151
2025-07-23,Wednesday,July,92.9,0.37,237
2025-07-24,Thursday,July,94.4,0.06,247
2025-07-25,Friday,July,82.4,0.17,185
2025-07-26,Saturday,July,76.3,0.75,135
2025-07-29,Tuesday,July,89.1,0.18,212
2025-07-30,Wednesday,July,84.7,0.2,191
2025-07-31,Thursday,July,91.6,0.31,221
2025-08-01,Friday,August,82.9,0.0,181
2025-08-02,Saturday,August,81.3,0.08,171
2025-08-03,Sunday,August,84.6,0.14,201
2025-08-04,Monday,August,85.6,0.47,198
2025-08-05,Tuesday,August,80.1,0.37,156
2025-08-06,Wednesday,August,90.5,0.12,222
2025-08-07,Thursday,August,94.8,0.84,234
2025-08-08,Friday,August,89.8,0.25,210
2025-08-09,Saturday,August,86.9,0.02,205
2025-08-10,Sunday,August,76.0,0.11,151
2025-08-11,Monday,August,88.1,0.2,205
2025-08-12,Tuesday,August,73.8,0.02,152
2025-08-13,Wednesday,August,91.6,0.09,227
2025-08-14,Thursday,August,84.9,0.09,188
2025-08-15,Friday,August,84.9,0.28,189
2025-08-16,Saturday,August,81.2,0.31,181
2025-08-18,Monday,August,74.7,0.16,132
2025-08-19,Tuesday,August,84.4,0.16,190
2025-08-21,Thursday,August,84.6,0.33,200
2025-08-23,Saturday,August,88.3,0.35,206
2025-08-24,Sunday,August,75.5,0.54,147
2025-08-25,Monday,August,93.2,0.67,229
2025-08-26,Tuesday,August,88.1,0.19,201
2025-08-27,Wednesday,August,93.3,0.19,232
2025-08-28,Thursday,August,95.6,0.15,254
2025-08-29,Friday,August,79.9,0.09,168
2025-08-30,Saturday,August,85.5,0.8,187
2025-08-31,Sunday,August,80.4,0.2,171
2025-09-02,Tuesday,September,80.2,0.22,172
2025-09-03,Wednesday,September,79.0,0.06,168
2025-09-04,Thursday,September,64.7,0.25,88
2025-09-05,Friday,September,64.1,0.32,90
2025-09-06,Saturday,September,70.5,0.27,125
2025-09-07,Sunday,September,68.8,0.37,103
2025-09-08,Monday,September,82.2,0.06,177
2025-09-09,Tuesday,September,69.3,0.06,119
2025-09-10,Wednesday,September,68.3,0.07,104
2025-09-11,Thursday,September,72.9,0.05,131
2025-09-13,Saturday,September,78.7,0.19,163
2025-09-14,Sunday,September,73.7,0.21,131
2025-09-15,Monday,September,78.1,0.11,157
2025-09-16,Tuesday,September,67.8,0.91,87
2025-09-17,Wednesday,September,70.9,0.11,131
2025-09-18,Thursday,September,65.6,0.12,89
2025-09-19,Friday,September,77.2,0.32,151
2025-09-20,Saturday,September,64.9,0.13,86
2025-09-21,Sunday,September,69.0,0.02,111
2025-09-22,Monday,September,69.3,0.17,116
2025-09-23,Tuesday,September,78.1,0.04,154
2025-09-24,Wednesday,September,77.2,0.06,151
2025-09-25,Thursday,September,70.5,0.15,112
2025-09-26,Friday,September,74.8,0.11,147
2025-09-27,Saturday,September,68.1,0.02,110
2025-09-28,Sunday,September,76.7,0.02,157
2025-09-29,Monday,September,80.5,0.84,170
2025-09-30,Tuesday,September,68.6,0.24,109
2025-10-01,Wednesday,October,62.6,0.15,83
2025-10-02,Thursday,October,64.5,0.71,91
2025-10-03,Friday,October,69.6,0.14,123
2025-10-04,Saturday,October,57.5,0.68,47
2025-10-05,Sunday,October,62.3,0.33,75
2025-10-06,Monday,October,60.7,0.46,70
2025-10-07,Tuesday,October,65.9,0.02,98
2025-10-08,Wednesday,October,59.7,0.18,71
2025-10-09,Thursday,October,67.4,0.21,117
2025-10-10,Friday,October,69.2,0.15,116
2025-10-11,Saturday,October,49.8,0.3,15
2025-10-12,Sunday,October,58.7,0.01,57
2025-10-13,Monday,October,61.7,0.13,73
2025-10-14,Tuesday,October,69.8,0.26,121
2025-10-15,Wednesday,October,54.9,0.07,43
2025-10-16,Thursday,October,59.5,0.08,73
2025-10-17,Friday,October,58.9,0.45,57
2025-10-18,Saturday,October,52.3,0.15,34
2025-10-19,Sunday,October,59.1,0.14,64
2025-10-20,Monday,October,57.8,0.27,52
2025-10-21,Tuesday,October,54.8,1.5,36
2025-10-22,Wednesday,October,59.3,0.06,60
2025-10-23,Thursday,October,50.0,0.02,26
2025-10-24,Friday,October,64.3,0.25,82
2025-10-25,Saturday,October,60.4,0.64,62
2025-10-26,Sunday,October,64.7,0.02,98
2025-10-27,Monday,October,69.7,0.28,115
2025-10-28,Tuesday,October,54.4,0.74,33
2025-10-29,Wednesday,October,65.8,0.38,86
2025-10-30,Thursday,October,54.4,0.69,38
2025-10-31,Friday,October,69.2,0.04,114
